Strategy: Price moved. Canceling orders for requote if open orders. Current open orders=0 and current mid bucket=24
Strategy: Calculated quotes: bid=0.23, ask=0.25 and best bid=0.23, best ask=0.25 should requote=true open orders=0 yes_token=55998363602002924667053814952841858738004742857803945859381533344522326498583
Strategy: Price not moved. Returning. Current open orders=0 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Exec: Posted order: Object {"errorMsg": String(""), "makingAmount": String(""), "orderID": String("0x0f673ca31f4db8099a67806f36beee8a836d6c3fb29f3c4b087523a1b7f2964d"), "status": String("live"), "success": Bool(true), "takingAmount": String("")}
Exec: Placed order successfully with ID: 0x0f673ca31f4db8099a67806f36beee8a836d6c3fb29f3c4b087523a1b7f2964d
Exec: Posted order: Object {"errorMsg": String(""), "makingAmount": String(""), "orderID": String("0xa6731f835892347b7ed27dbbf90e94f5d8e4c8bb32895ad21e5dd986fad71c48"), "status": String("live"), "success": Bool(true), "takingAmount": String("")}
Exec: Placed order successfully with ID: 0xa6731f835892347b7ed27dbbf90e94f5d8e4c8bb32895ad21e5dd986fad71c48
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
